episode,total_demand,served,charged,rejection,total_rewards,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_subsidy,mean_subsidy,std_subsidy,max_envy,mean_envy,std_envy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
10,1859,1762,1481,0.052178591,47120.21499,105587.1038,3735.182518,4865.232935,15,4.929477513,1.991429987,4.999942633,1.242263573,1.621559791,39.0407843,2.009242882,6.006691851,36.6,2.617123688,6.359690111,9,4.947916667,1.632162367,46.36842105,18.81547663,38.97368421,18.26196341,1.953223958,2.390774938,0,0,0,0,0.242857143,0,0,0,2.839941563,3.481194844,0.272,1.7799201,0,0,1.179922473,2.191911724,1.122795661,0.255963937,0,7.509079774,1.05635931,3.759100637,3.24325353,2.304074082,0,0,5.185848942,1.279647298,1.716104511,2.308339776,1.494565795,1.063852174,1.349633902,0.305632669,2.061792545,1.278413047,2.56832245,4.724934019,0,1.724323926,10.74979738,5.584812748,2.138722179,1.784338992,1.818181818,6.8625,7.970276028,0.499558951,0,0.917914457,2915.627093
11,1849,1750,1494,0.053542455,46814.18964,104324.2744,3213.626684,4464.53894,15,4.974068785,2.114894098,4.999942633,1.296546426,1.621500837,43.63644903,1.738034983,5.697991347,36.6,2.414569464,6.050843266,10,4.71875,1.627902056,46.05263158,19.95118697,39.31578947,20.80246097,1.902639825,2.150355165,0,0,0,1.327335192,0.908462058,0,0,2.815384615,0,0,0.719522704,2.986997008,0,0.301364403,1.426372111,1.109753054,1.334096766,0.351199151,0,6.90818688,1.95555355,3.224485468,3.19390776,2.042010241,0,0,4.688352517,2.744357768,1.701710872,2.215296607,1.732246698,0.328374696,1.396886705,0.804326352,1.511649469,2.772777812,2.291410594,1.334244141,0,2.766254706,5.579906215,3.106354961,4.098654204,4.611167621,1.638930322,7.32,9.981818182,0,0,0.898415443,2813.029666
12,1815,1715,1503,0.055096419,44911.57031,98227.32187,3365.207174,4590.652581,15,4.984748571,2.061672448,4.996142539,1.22951645,1.591058647,39.20329234,1.854108636,5.780493325,36.6,2.529285169,6.255346352,9,4.838541667,1.597515636,45.13157895,20.76202385,39.55263158,20.98332341,1.80393383,2.169935501,0,0,0,0.375751809,0.421837269,0,0,0,0.318543053,0.762497845,3.276062358,1.404557151,0,0.673486204,1.076387001,1.566919578,1.381895185,0,0,10.60708308,2.180866559,3.893783513,3.185518025,2.43713213,0.400963605,0.517530653,4.272215568,0.492800261,1.291441385,2.782200481,1.719937307,1.049644837,0.944247024,0.251356977,1.016993334,0.668263489,3.607497703,1.915563644,0,1.712056144,6.465932354,5.992952038,1.451638325,4.599051532,3.182608696,6.068195504,4.427346063,0,0,2.012414965,2784.784122
13,1798,1720,1459,0.043381535,45450.76621,102094.9463,3265.125278,4274.211762,14.98497157,4.999727216,2.107581197,4.985171254,1.25050038,1.595241574,37.02749852,1.815976239,5.643981642,36.6,2.377203427,5.934355534,9,4.703125,1.645825092,45.26315789,21.87486446,38.39473684,20.9253554,1.388619729,1.681459339,0,0,0,0.588974337,0.652579174,0,0,0,5.39047619,0,0.121428571,1.452198205,0,0,0.912394411,1.231551613,0.849845848,0.708296206,0,4.327772624,2.095043028,4.18137862,3.592200397,2.664286975,0,0,3.862209967,1.756472226,2.009078168,1.665952752,0.999889538,1.121501806,0.225097532,0.408154637,1.081242043,0.997129114,3.411383711,2.358786774,0,1.58508738,8.201439197,1.042735475,2.402151461,1.922551812,1.407692308,0,2.815384615,0,0,1.906036237,2681.69972
14,1796,1709,1441,0.04844098,45358.64403,102346.3594,3353.470295,4202.939101,15,4.827952355,1.842704354,4.999282888,1.270875307,1.620373342,40.1138087,1.86718836,5.673245509,36.6,2.340166537,5.772532501,9,5.177083333,1.767736262,44.97368421,20.40057641,37.92105263,20.22554609,1.67881399,1.628148505,0,0,5.4445411,0.578451222,0,0,0,0,3.485714286,0,0.321449136,1.338903184,3.048841633,0,1.069068458,1.197264095,1.232400003,0.072998947,0.846550733,3.896266066,2.667643159,0.587125361,3.283844906,2.261820065,0,0,3.845540774,1.548502124,1.165815614,2.751260898,1.196543898,1.645568804,0.708407528,1.13134533,1.812481799,1.504385513,5.179142698,3.562311821,0,1.993090479,5.169817055,3.188734515,2.714572635,3.143329694,4.990909091,0.349970167,3.327272727,0,0,1.539168928,2624.718445
15,1788,1703,1432,0.04753915,45760.67713,101684.5537,3462.208937,4556.406812,14.97232822,4.949257766,2.018259856,4.997175131,1.330872108,1.627326222,36.63653123,1.936358466,5.818914273,36.6,2.548325958,6.271575106,9,4.802083333,1.630566055,44.81578947,19.78018049,37.68421053,19.45995248,1.813087315,2.001754419,0,0,3.66,0.82386767,0.130626846,0,0,2.782737043,8.611764706,0,0.575674322,4.703586754,0,0.079238073,0.850379566,1.482120118,2.133995841,0.23072501,0,2.982911311,2.704558815,1.739814517,3.53131671,2.023892401,0,0,3.512689915,0.51627096,1.722274749,1.722984089,1.28037727,1.059403087,1.250173907,0.279104376,1.872067685,0.854393559,4.698060983,2.809349857,0,1.455424191,6.962002072,1.201287312,1.401690433,6.246092602,1.920025193,3.80182506,5.228571429,0,0,1.617393962,2554.385454
16,1868,1771,1520,0.051927195,47081.35748,104190.8606,3451.664806,4667.985521,15,4.912446259,1.974625408,4.995685923,1.30331608,1.608074026,37.71295535,1.847786299,5.902402761,36.6,2.498921585,6.26491807,9,5.083333333,1.68118675,46.60526316,22.19594495,40,22.45463262,1.822266014,2.057766546,0,0,0,0.870012611,0.606544186,0,0,2.466785851,3.297748931,4.396652873,0.36712499,2.802777217,0,0,1.221597191,1.114350614,0.966885042,0.354569741,0,8.282060333,4.415534475,1.523118957,3.061613224,1.967289667,0,2.6349317,5.261970724,0.580479967,0.882058382,2.538269053,1.747864829,1.342154256,0.129554485,0,1.250058909,1.824472059,2.336387115,5.329267001,0,2.421305263,7.915850134,5.604467568,0.754756387,1.436226584,3.485714286,4.100580101,0,0,0,1.971642867,2569.492167
17,1845,1769,1493,0.041192412,46480.21518,106094.82,3414.242447,4481.561432,14.78898017,4.851384608,1.848365007,4.980166661,1.262397273,1.607036701,40.13552918,1.850537911,5.681298957,36.6,2.429030587,5.966830168,10,5.140625,1.563255026,46.55263158,20.98332341,39.28947368,20.63199852,1.759458229,2.194823417,4.575,0,1.26535249,1.994110978,0,0,0,0,1.327648607,0,0.760283669,5.408946961,0,1.803171552,1.354939953,1.666780303,1.734019644,0.178476628,0,0.934938995,0.050838571,2.449322392,3.290807888,2.404515483,0,0.68,4.370327002,0.500088562,1.49361308,1.994228506,1.627169414,1.454689239,0.063921833,2.888344352,1.16311317,0.60995952,4.983971542,2.179156428,0,2.931444811,6.720167378,1.106413303,1.155630939,1.313916802,0.251432815,11.32239622,6.204314186,0,0,1.756701692,2471.291732
18,1878,1778,1489,0.053248136,47942.46251,107231.6775,3446.312693,4705.183596,15,4.928686184,2.006136844,4.999932672,1.353504701,1.633766298,41.57688824,1.835097281,5.933527931,36.6,2.505422575,6.254233142,10,4.953125,1.662356079,46.78947368,19.68456234,39.18421053,19.47313299,1.843792762,2.315205049,0,0,0,1.056149827,0,0,0,0,0.386973876,0,0,4.712532164,0,0,1.177312231,1.263145049,1.105071269,0.354558727,0,10.00162119,2.220844632,3.29376076,3.410947919,2.271284028,0,0,3.036675614,1.605289409,1.493509028,2.021832124,1.904100721,1.133602888,0.196090324,0.605262754,1.872399064,1.456939556,3.644934314,2.916786544,0,2.552254298,6.166415491,8.740746974,2.294128159,4.003071149,1.525,4.88,7.042605253,0,0,1.52185751,2462.580681
19,1890,1791,1525,0.052380952,46719.02845,105468.6544,3585.465809,4673.704832,15,4.952427562,2.020943551,4.992476886,1.246918042,1.587707847,36.6,1.897071856,5.802809754,36.6,2.472859699,6.134513894,9,5.09375,1.443939382,47.13157895,22.09688124,40.13157895,21.72819058,1.702745719,2.568796639,2.524314561,0,0.206757503,0.478476186,0,0,0,0,0,0,0.098741084,1.309066325,0,0.156970882,0.959245035,0.948368269,1.905199623,0.93438327,0,9.018676363,2.069687387,1.71921803,3.55799012,2.326527077,0.117781875,0,4.388111743,1.086574464,0.919063244,2.308513018,1.398247694,0.881955508,0.795829743,0,1.437431075,0.741700917,1.515899043,2.486364974,0,2.125469208,8.839776772,6.977988407,0,0.477374486,0.278603362,9.998079134,8.446153846,0,0,3.054907342,2443.641955
