episode,total_demand,served,charged,rejection,total_rewards,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_subsidy,mean_subsidy,std_subsidy,max_envy,mean_envy,std_envy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
10,1859,1786,1522,0.039268424,48355.09803,104827.5731,1342.368543,2748.353143,15,5.719822882,2.852602162,4.999942633,0.287570051,0.839199491,33.55719979,0.722091739,3.315757835,36.6,1.478404057,4.182753342,10,5.463541667,1.622987202,47,28.28892288,40.05263158,27.0174869,1.128693076,1.834138306,0,0,0,0,0.242857143,0,0,0,0.574871465,0.154269016,0.4075535,1.046153846,0,0,0.286987965,1.222733702,0.198067381,0.247188839,0,7.787710082,0.597058622,2.104331164,1.83413718,1.711634945,0,0,2.099905946,1.071997188,0.967981954,0.799194676,0.678597305,0.674908063,0.553941849,0.030937621,1.404819783,0.627926323,2.566925718,2.769851132,0,1.600067912,5.727876884,8.818518614,0.826533964,0.896389798,0.280285576,0.535891203,3.458295401,0.499558951,0,0.568944408,0
11,1849,1758,1487,0.049215792,46943.08388,104992.7456,1649.908472,2922.382842,15,5.596089,2.79805142,4.999942633,0.316805085,0.8563178,36.6,0.892324755,4.223994659,36.6,1.580520736,4.991100905,10,5.463541667,1.740666766,46.26315789,28.50640206,39.13157895,27.36225892,1.33258702,1.968016957,0,0,0,0.869112798,0.26196898,0,0,0.221362508,0,0,0.542776533,2.684167134,0,0.360364274,0.387762427,0.625890357,0.309857862,0.119073593,0,10.16417349,0.871058671,2.272471347,1.922011333,0.870752112,0,0,4.675750984,1.099120916,1.402732362,0.419214756,1.106278124,0.373506563,0.686630559,0.150139354,0.674126034,0.490475848,3.918643414,1.692534457,0,2.067722317,4.154839263,2.13386145,2.214911071,4.428518461,1.757888672,2.403429607,6.963636364,0,0,0.486583262,0
12,1815,1721,1465,0.051790634,45540.53706,100238.4637,1448.15107,2721.436997,15,5.7881794,2.905996989,4.91968854,0.284037588,0.821761653,36.6,0.797879378,3.768266152,36.6,1.499414324,4.541575751,9,5.489583333,1.808514536,45.28947368,28.09842466,38.55263158,26.76377891,1.155231903,2.011021776,0,0,0,0.239797715,0.421837269,0,0,0,0.318543053,0.786190973,0.452429889,0.927272727,0,0.487393528,0.19568388,0.839119235,0.345199204,0,0,12.06570618,1.216263487,2.90382397,1.822594271,1.567562973,0.346665629,0,2.161952066,0.102354665,0.621077383,0.94441513,1.128480871,0.256185395,0.810850571,0.114611301,1.244150921,0.364232178,2.978492309,1.054670139,0,1.887085983,5.236823855,5.623702591,1.347323367,0.149419788,0.295652174,3.208952504,2.139846063,0,0,0.47805789,0
13,1798,1723,1473,0.041713014,46068.67407,101248.1963,1334.875716,2377.063388,15,5.665271767,2.870534434,4.852773246,0.299767298,0.840269806,36.6,0.742422534,3.433090138,36.6,1.322059726,3.935881738,9,5.354166667,1.901091609,45.34210526,29.51117212,38.76315789,27.77108891,0.760760793,1.027233714,0,0,0,0.547181009,0,0,0,0,3.971428571,0,0.121428571,1.02,0,0,0.131694462,0.33512432,0.149581722,0.186714797,0,0.330290068,1.457623026,1.015633685,2.174044563,1.317008075,0,0,1.932257213,0.579191499,1.339964877,0.497744364,0.495431945,0.275547482,0.072694762,0.619884833,1.032428337,0.801661665,3.091076399,0.921266621,0,1.318482645,4.06864018,2.188094346,1.819257549,0.484810617,2.719552203,0,0.261538462,0,0,0.546736835,0
14,1796,1737,1478,0.03285078,46286.23846,102434.6119,1075.766251,2150.839451,15,5.55953207,2.701609287,4.972018776,0.270689369,0.809587682,36.6,0.598978982,3.181020466,36.6,1.197572077,3.604599622,9,5.604166667,1.79976368,45.71052632,26.97260588,38.89473684,25.68512725,0.829120189,0.952266066,0,0,0.215647902,0.089669455,0,0,0,0,0.139669428,0,0.320514025,0.377777778,0.689076753,0,0.489796515,0.705401531,0.456740027,0.072998947,0.500497714,2.33284459,2.810916135,0.327771546,1.466180823,1.011960498,0,0,3.291019647,1.282352577,0.545417733,1.160653986,0.674239645,0.31232556,1.09220563,0.578421278,1.689547758,1.116829234,2.767467345,1.340609217,0,1.555532624,3.175653009,0.729988943,3.287711689,1.436668423,1.895631266,0.349970167,0.337179888,0,0,0.487722458,0
15,1788,1717,1456,0.039709172,46198.54696,101553.7594,1366.651804,2651.842722,15,5.67219413,2.823003536,4.975940188,0.277913086,0.813001247,40.2242059,0.764346647,3.634442724,36.6,1.483133514,4.370838385,10,5.479166667,1.767644187,45.18421053,27.36964825,38.31578947,26.16255386,0.990375405,1.248232171,0,0,0,0.382312996,0.450323175,0,0,0.247740169,4.905882353,0,0.154545455,3.465000764,0,0.014897379,0.303476965,0.334416852,0.506554799,0.024189922,0,0.973066968,3.063187239,1.080178555,1.981335491,1.213331063,0,0,2.780057278,0.523381191,1.047103521,0.411435855,0.603256176,0.324078628,0.239362203,0.928100463,1.449378222,0.387397657,2.834484858,2.504753857,0,1.427915117,4.960176262,2.096964509,0.485714286,1.798802566,1.992053679,2.147824101,0.485714286,0,0,0.504557343,0
16,1868,1797,1532,0.038008565,48507.69578,105761.4056,1590.180366,2827.029971,15,5.771377056,2.923422397,4.995685923,0.320748107,0.859277642,36.6,0.851274286,3.826831907,36.6,1.513399342,4.317502106,10,5.765625,1.809196882,47.28947368,28.1695131,40.31578947,26.91321849,0.995455581,1.345832275,0,0,0,0.120116107,0,0,0,0.391785851,0.538808785,0.011121868,0.103834455,2.43812535,0,0,0.174656342,0.459680142,0.3925246,0.35420309,0,5.669061014,4.170671421,0.266419505,2.042136607,1.118168754,0,0.85,3.380576865,0.48149452,0.511374236,1.150254642,1.070082268,1.184188702,0,0.078302379,0.975517804,1.098103725,3.092515921,3.404213331,0,2.249932684,3.856076075,2.780848964,0.261538462,1.982657173,0.161904762,1.956427073,0,0,0,0.585260858,0
17,1845,1786,1520,0.03197832,47849.30957,105884.1863,1430.224571,2775.37253,15,5.644617901,2.777617411,4.97075344,0.293134311,0.821988517,43.59658424,0.775189469,3.920145302,36.6,1.504266954,4.55560196,10,5.682291667,1.836578272,47,28.77041609,40,27.55186497,1.175873993,1.925842431,0.101456328,0,0.421409778,0.895557447,0.126968572,0,0,0,0.259287937,0,0.575416828,4.5191513,0,0,0.392102297,0.877586384,0.283800891,0,0,5.792342296,0,1.255017011,2.058761389,1.635646296,0,0.68,1.999226372,0.618063194,0.610648291,0.655821869,0.747718173,0.618077874,0.149247782,1.795297854,1.083413163,0.293420924,3.897412102,1.768868792,0,1.51886575,5.620672079,0.81666286,0.777533912,0.451039681,0.251432815,10.25882699,3.81107043,0,0,0.53183937,0
18,1878,1799,1536,0.042066028,48575.30499,105852.5212,1259.515953,2575.674128,15,5.635611413,2.714903812,4.861855213,0.293457582,0.834718143,37.36715563,0.670668772,3.35131901,36.6,1.371498471,4.123960862,10,5.692708333,1.860877078,47.34210526,29.26402166,40.42105263,27.8885296,0.949103026,1.255528496,0,0,0,0.309090909,0,0,0,0,0,0,0,3.1762507,0,0,0.363083762,0.559652232,0.293553047,0.165669838,0,5.167286722,1.31754203,2.038549116,1.841268777,1.219361584,0,0,1.651565473,0.531001512,0.604076254,1.031253679,1.001322847,0.42948012,0.167707994,0.487105966,1.137254393,0.751841003,1.923723921,3.115061968,0,1.586746049,3.786799402,3.160363056,1.795318387,2.231749431,0.151770606,0.415554362,4.095043152,0,0,0.521241277,0
19,1890,1794,1534,0.050793651,47050.40601,104841.9937,1936.946169,2935.177731,15,5.585768598,2.736628069,4.97075344,0.270251634,0.782125644,44.30740963,1.024839243,4.617443187,36.6,1.553004091,4.840594253,10,5.614583333,1.69785276,47.21052632,29.55739991,40.36842105,28.13540666,1.214491048,2.379067969,0.306668847,0,0.507356184,0.595294396,0,0,0,0,0,0,0.305911717,1.133333333,0,0.156970882,0.308335138,0.383041325,0.608190735,0.132715786,0,10.94277346,0.568680403,1.302210585,1.985258192,0.819351965,0,0,1.710754278,0.884579547,1.064292085,0.756256871,0.749976862,0.364025214,0.566666667,0,0.810830279,0.382732014,1.436737359,1.15517286,0,1.813610131,7.578825414,5.633490546,0,0.461956192,0.278603362,10.20545873,3.6,0,0,0.46737174,0
20,1824,1751,1482,0.04002193,46099.45231,104136.6769,1477.428078,2614.461836,15,5.665841004,2.763169742,4.765175369,0.290180754,0.812159023,43.24568188,0.809993464,4.152280676,36.6,1.433367235,4.619970118,9,5.453125,1.670170471,46.07894737,28.12975722,39,26.91604882,0.924196232,1.333020439,0.354159734,0,0,0,0,0,0,0,2.379616725,0,0.726953669,1.236363636,0,0,0.127722439,1.272904952,0.249199221,0.357894737,0,2.737180745,0.277216573,1.539238322,1.832016112,1.233298595,0,0,1.439246924,0.666254607,0.729185032,0.664033555,0.578800671,0.397203398,0.353941849,0.570096887,0.578041854,0.442718274,2.076063524,3.225233876,0,1.311954978,6.032367995,5.874856291,2.001183303,1.126344607,0,2.603814096,0.290508186,0,0,0.58821343,0
