id,type,center,bound,centroid,boundary_points,demand,envy,subsidy,Envies,Subsidies
10,suburb,"(31.82809699999999, 118.858373)","(31.78809699999999, 31.868096999999988, 118.803373, 118.91337299999999)","(118.858373, 31.82809699999999)","[(118.803373, 31.78809699999999), (118.803373, 31.868096999999988), (118.91337299999999, 31.868096999999988), (118.91337299999999, 31.78809699999999), (118.803373, 31.78809699999999)]",0,0,0,[],[]
11,suburb,"(31.829968386581495, 118.95790454030094)","(31.78809699999999, 31.868096999999988, 118.91337299999999, 119.02337299999999)","(118.95790454030094, 31.829968386581495)","[(119.020358, 31.845934), (119.014666, 31.846572), (119.010749, 31.845878), (119.00338, 31.845781), (118.996916, 31.842798), (118.99227, 31.84413), (118.979658, 31.842354), (118.979324, 31.838233), (118.976592, 31.835805), (118.97156, 31.836415), (118.969452, 31.834597), (118.970795, 31.830989), (118.972912, 31.829796), (118.970391, 31.826077), (118.971885, 31.824328), (118.978006, 31.822788), (118.980624, 31.820664), (118.986412, 31.817875), (118.99003, 31.812809), (118.99205, 31.812448), (118.992665, 31.808881), (118.998427, 31.801468), (119.000745, 31.801413), (119.006358, 31.798623), (119.006068, 31.793847), (119.007877, 31.792334), (119.00551877312056, 31.78809699999999), (118.91337299999999, 31.78809699999999), (118.91337299999999, 31.868096999999988), (119.02337299999999, 31.868096999999988), (119.02337299999999, 31.846167552513062), (119.020358, 31.845934)]",0,0,0,[],[]
12,suburb,"(31.922256351309848, 118.43009400750113)","(31.868096999999988, 31.948096999999986, 118.363373, 118.473373)","(118.43009400750113, 31.922256351309848)","[(118.467092, 31.86888), (118.4723, 31.874262), (118.473152, 31.877618), (118.472309, 31.879629), (118.452283, 31.88465), (118.449192, 31.887257), (118.44379, 31.888616), (118.440128, 31.892694), (118.430651, 31.896216), (118.420067, 31.899586), (118.415931, 31.901444), (118.408087, 31.910151), (118.402958, 31.914033), (118.400077, 31.914741), (118.395545, 31.914006), (118.388326, 31.914158), (118.386016, 31.914796), (118.38093, 31.918817), (118.378023, 31.922851), (118.375301, 31.925332), (118.368792, 31.928645), (118.364375, 31.930156), (118.363373, 31.931764), (118.363944, 31.934966), (118.369486, 31.944211), (118.36901748598314, 31.948096999999986), (118.473373, 31.948096999999986), (118.473373, 31.868096999999988), (118.46700361621343, 31.868096999999988), (118.467092, 31.86888)]",0,0,0,[],[]
13,suburb,"(31.908096999999984, 118.52837299999999)","(31.868096999999988, 31.948096999999986, 118.473373, 118.583373)","(118.52837299999999, 31.908096999999984)","[(118.473373, 31.868096999999988), (118.473373, 31.948096999999986), (118.583373, 31.948096999999986), (118.583373, 31.868096999999988), (118.473373, 31.868096999999988)]",0,0,0,[],[]
14,suburb,"(31.908096999999984, 118.638373)","(31.868096999999988, 31.948096999999986, 118.583373, 118.693373)","(118.638373, 31.908096999999984)","[(118.583373, 31.868096999999988), (118.583373, 31.948096999999986), (118.693373, 31.948096999999986), (118.693373, 31.868096999999988), (118.583373, 31.868096999999988)]",0,0,0,[],[]
15,suburb,"(31.908096999999984, 118.74837300000002)","(31.868096999999988, 31.948096999999986, 118.693373, 118.803373)","(118.74837300000002, 31.908096999999984)","[(118.693373, 31.868096999999988), (118.693373, 31.948096999999986), (118.803373, 31.948096999999986), (118.803373, 31.868096999999988), (118.693373, 31.868096999999988)]",0,0,0,[],[]
16,centre,"(31.908096999999984, 118.858373)","(31.868096999999988, 31.948096999999986, 118.803373, 118.91337299999999)","(118.858373, 31.908096999999984)","[(118.803373, 31.868096999999988), (118.803373, 31.948096999999986), (118.91337299999999, 31.948096999999986), (118.91337299999999, 31.868096999999988), (118.803373, 31.868096999999988)]",0,0,0,[],[]
17,suburb,"(31.908096999999984, 118.96837299999999)","(31.868096999999988, 31.948096999999986, 118.91337299999999, 119.02337299999999)","(118.96837299999999, 31.908096999999984)","[(118.91337299999999, 31.868096999999988), (118.91337299999999, 31.948096999999986), (119.02337299999999, 31.948096999999986), (119.02337299999999, 31.868096999999988), (118.91337299999999, 31.868096999999988)]",0,0,0,[],[]
18,suburb,"(31.903349384657865, 119.06514814034294)","(31.868096999999988, 31.948096999999986, 119.02337299999999, 119.117032)","(119.06514814034294, 31.903349384657865)","[(119.033023, 31.944558), (119.03752, 31.938986), (119.043615, 31.937323), (119.046505, 31.935923), (119.051537, 31.935937), (119.055297, 31.939541), (119.06155, 31.939277), (119.067637, 31.94022), (119.076876, 31.936727), (119.084957, 31.935909), (119.088514, 31.932638), (119.093511, 31.934564), (119.097718, 31.933012), (119.101495, 31.935646), (119.102259, 31.933178), (119.104165, 31.933608), (119.104341, 31.931251), (119.108434, 31.922989), (119.110032, 31.91065), (119.112685, 31.906824), (119.111183, 31.901638), (119.112149, 31.900459), (119.11669, 31.899045), (119.117032, 31.892832), (119.11647, 31.890475), (119.113791, 31.887743), (119.107784, 31.885135), (119.105623, 31.880905), (119.103761, 31.878866), (119.102918, 31.873568), (119.10109315950051, 31.868096999999988), (119.0702163772437, 31.868096999999988), (119.069753, 31.868796), (119.066644, 31.868242), (119.06645415097931, 31.868096999999988), (119.02337299999999, 31.868096999999988), (119.02337299999999, 31.948096999999986), (119.03073101716288, 31.948096999999986), (119.033023, 31.944558)]",0,0,0,[],[]
19,suburb,"(31.985779502614324, 118.42842505857055)","(31.948096999999986, 32.02809699999999, 118.368871, 118.473373)","(118.42842505857055, 31.985779502614324)","[(118.368871, 31.949312), (118.369003, 31.956172), (118.371252, 31.95983), (118.374993, 31.963987), (118.3792, 31.967271), (118.380377, 31.970181), (118.379341, 31.974213), (118.376407, 31.977774), (118.375634, 31.980351), (118.376715, 31.981723), (118.387175, 31.98326), (118.389266, 31.985075), (118.390996, 31.989536), (118.39125, 31.995894), (118.389239, 32.001172), (118.390249, 32.006394), (118.389643, 32.012045), (118.392269, 32.016601), (118.399357, 32.016989), (118.401535, 32.018678), (118.401087, 32.021739), (118.398804, 32.024093), (118.395458, 32.024938), (118.389494, 32.027416), (118.3887843367199, 32.02809699999999), (118.473373, 32.02809699999999), (118.473373, 31.948096999999986), (118.36901748598314, 31.948096999999986), (118.368871, 31.949312)]",0,0,0,[],[]
