episode,total_demand,served,charged,rejection,total_rewards,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_subsidy,mean_subsidy,std_subsidy,max_envy,mean_envy,std_envy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
10,1859,1765,1476,0.05056482,45117.75472,106306.5956,0,4779.038066,15,4.998994852,2.120704374,4.998755504,1.236606021,1.606243976,0,0,0,36.6,2.570757432,6.195555002,10,4.958333333,1.752478404,46.44736842,19.01896196,38.84210526,18.79463293,1.970306286,2.365543308,0,0,0,0,0.203277399,0,0,0,2.841364619,0.109614654,0.903222447,1.238846369,0,0,1.053762998,2.357939176,0.954263407,0.242926859,0,5.264615445,2.813444673,4.234104869,3.124479524,2.452615679,0,0,2.834482002,3.631616532,1.958362169,2.948478128,1.230880889,0.975756179,1.331678602,0.151866792,1.992208664,0.851657428,2.695080908,2.410969054,0,1.915046836,8.939963747,3.992453139,1.307059868,2.519847205,3.18906896,5.283576599,10.45714286,8.133333333,0,0.829240657,2906.906911
11,1849,1750,1496,0.053542455,43289.0472,102944.43,0,4716.061153,15,4.924214015,1.996458904,4.999942633,1.262761862,1.596636681,0,0,0,36.6,2.550600948,6.217188112,10,4.963541667,1.705910057,46.05263158,20.35209464,39.36842105,20.07803337,1.883717602,2.191652448,0,0,0,0.990772205,0.909147196,0,0,0.221362508,0,0,0.790176908,2.986997008,0,4.935653706,1.046191585,0.755921756,1.619902246,0.647513369,0,8.173554152,0.573656113,2.546780951,3.737949146,1.943315325,0,0,5.219756944,1.373226354,1.876665091,2.221417587,1.708720541,0.664662449,0.829051491,0.273293152,0.879889272,2.286328661,2.691783142,2.725585078,0,2.334911133,7.234222755,2.000924773,2.534715847,5.754522079,3.647226363,7.202729259,6.963636364,0,0,0.819737537,2827.754958
12,1815,1713,1461,0.056198347,42111.07131,100215.225,0,4828.361724,14.75641255,4.968555597,2.04984992,4.992534144,1.248033145,1.598536647,0,0,0,36.6,2.660254393,6.400983977,8,4.791666667,1.50635229,45.07894737,20.11857165,38.44736842,20.14774033,1.982674903,2.528708836,0,0,0,0.410105428,0.039611611,0,0,0,2.352941176,0.762497845,1.642235234,2.500023392,0,0.872606473,1.398342102,1.636990443,1.884622699,0,0,13.14555963,2.503591831,4.530350338,3.388514831,2.46792643,1.182043476,0.305726725,4.296302357,0.264875544,1.185341838,2.849292969,1.638075468,0.937720186,1.414229252,0.251356977,1.326515952,0.713521083,3.124782821,2.178122968,0,1.612457056,6.89425567,7.745142416,1.598594341,4.074778535,1.739130435,7.707884705,4.575,0,0,1.707092353,2642.728081
13,1798,1723,1466,0.041713014,42998.01229,101842.8469,0,4284.346228,14.9949425,4.915722991,2.032307014,4.999752391,1.263284908,1.590048157,0,0,0,36.6,2.382839949,5.9461898,10,4.885416667,1.839212873,45.34210526,21.87798258,38.57894737,20.94683945,1.441149597,1.781849131,0,0,0,0.715772935,0,0,0,0,3.971428571,0,0.203265,1.52100056,0,0,1.382759473,1.623887155,0.85229292,0.202792949,0,4.042089051,1.587200255,3.158067938,3.391322187,2.811770761,0,0,2.918694491,2.072533382,1.741112391,1.591130142,0.702604088,1.111562578,0.50658971,0.681675465,1.401484254,1.626804382,2.815543425,1.769153472,0,1.205144281,9.127658746,3.916807422,5.273536788,3.213954351,3.215152663,0,0.261538462,0,0,1.676651905,2606.779354
14,1796,1719,1449,0.042873051,43292.62641,102729.3412,0,4070.014653,15,5.041580066,2.121316891,4.995685923,1.258024476,1.604755421,0,0,0,36.6,2.266155152,5.642087499,9,4.994791667,1.546155837,45.23684211,20.27110234,38.13157895,20.00680286,1.644066149,1.857184507,0,0,1.79344062,0.711684896,0,0,0,0,1.742857143,0,0.671216874,0.656111422,2.107648444,0,0.941583431,1.071015541,1.403264911,0.072998947,0.273915703,8.610909559,2.082564501,0.698499704,3.386754126,2.396706046,0,0,4.474649414,1.144660304,0.931155686,2.590502751,1.610627793,1.729631237,0.668556825,1.261248183,1.856508401,1.473982935,2.515169145,3.549133454,0,2.006569443,4.88101861,2.059451929,4.294647615,2.923219998,4.990909091,0.349970167,6.626456476,0,0,1.429959428,2586.884251
15,1788,1706,1426,0.045861298,43256.24215,102598.2862,0,4485.580305,14.98545967,4.997176347,2.01748589,4.997958899,1.319658531,1.615560371,0,0,0,36.6,2.508713817,6.046636109,10,5.130208333,1.716562686,44.89473684,20.31047108,37.52631579,20.11249525,1.607864415,1.791861738,0,0,0.887930387,0.687073279,0.37051359,0,0,5.49057536,4.905882353,0,0.481743648,4.416556028,0,1.353058598,0.940160204,0.960121445,2.19336092,0.024189922,0,2.036496267,3.415022471,1.507198966,3.213808368,2.56141176,0,0,3.42345827,0.517318238,1.745067083,1.886313011,1.787840895,0.721964766,0.719792933,0.508268061,2.027915605,1.097382275,2.809582583,4.533179031,0,1.751495296,8.254965194,0.814039056,0.485714286,4.846963296,1.997494836,2.925783754,0.485714286,0,0,1.484866143,2573.626625
16,1868,1772,1502,0.051391863,44774.67109,105716.445,0,4828.33458,15,4.990207102,2.056774015,4.986859668,1.301734864,1.615960517,0,0,0,36.6,2.584761553,6.303832647,9,5.244791667,1.54699775,46.63157895,22.15308111,39.52631579,21.77968252,1.799696273,2.16746607,0,0,0,0.120116107,0.795737537,0,0,2.466785851,1.705013539,0,2.121602209,2.802777217,0,0,0.343732546,0.676066456,1.132268161,0.322287288,0,8.22867524,5.276211928,1.140985663,3.303303649,2.46780934,0,0.85,6.583717726,0.984058292,0.918806656,2.983676042,1.68506566,1.596619528,0.411531082,0,1.570013693,1.934506861,2.568343627,4.335245443,0,2.879523304,6.511697994,7.697547864,0.754756387,1.772563413,3.445131192,5.798939903,0,0,0,1.812995288,2556.640174
17,1845,1769,1500,0.041192412,43970.8468,105264.5194,0,4414.576953,15,4.921040963,1.973789664,4.995685923,1.265394386,1.615146347,0,0,0,36.6,2.392724636,5.794002642,10,5.067708333,1.738233945,46.55263158,21.76392158,39.47368421,21.18184034,1.92184944,2.553408342,4.575,0,0.421409778,1.30375712,0.217235736,0,0,0,3.959350838,0,0.622882098,4.764573407,0,1.622974813,1.31343441,1.366499217,0.898279384,0,0,5.399084923,2.559244476,2.400041484,3.485065822,2.341220152,0,0.68,3.511822777,0.522610106,1.051074669,2.541832305,1.584291023,0.98045768,0.308555544,2.904101543,1.254410177,0.458930751,4.095068751,2.814255141,0,1.708745414,5.637891619,0.717358837,0.799417993,1.667944875,0.251432815,12.16882842,11.26153846,0,0,1.5641146,2464.880185
18,1878,1795,1501,0.044195953,45950.39655,108470.9137,0,4264.92232,14.99793892,4.990980122,2.083050734,4.995685923,1.301840952,1.599088549,0,0,0,36.6,2.270991651,5.608420587,10,4.875,1.67238602,47.23684211,19.83674715,39.5,19.84379792,1.482390958,1.822745421,0,0,0,0.673428061,0,0,0,0,0.410730352,0,0,3.519391432,0,0,1.505802503,1.667881758,1.444895821,0.165669838,0,6.634276384,3.446483606,2.63315087,3.521007738,1.616365446,0,0,1.477691452,0.876391734,1.431028654,2.261127738,1.125461391,0.876201591,0.41856479,1.380705062,1.814192289,1.298202667,2.210524417,3.037307008,0,2.44401148,6.234288653,5.914123026,1.800910233,1.209639776,2.097103679,0.415554362,7.075043152,0,0,1.397928237,2474.188264
19,1890,1790,1515,0.052910053,43696.41071,106452.1331,0,5167.794087,14.79830617,4.927817672,1.969870406,4.996272815,1.378043439,1.65132683,0,0,0,36.6,2.734282586,6.541087709,9,5.026041667,1.423152662,47.10526316,20.43318956,39.86842105,20.24347985,1.881950134,2.913462705,0.306668847,0,0.052692511,0.851147294,0,0,0,0,0,0,0.73554227,1.988174819,0,1.22121721,1.11463053,0.776842301,1.612160949,0.980288641,0,13.40804526,2.041946718,1.958876401,3.649761081,2.700719947,0.117781875,0,5.032440163,1.617824093,1.407968126,2.461403166,1.135842722,0.547691315,0.828878247,0,1.309272683,1.028657566,2.152191931,3.991037506,0,2.755865684,9.081899943,5.308140651,0,3.317844035,0.278603362,12.84349874,3.6,0,0,2.266865657,2406.714108
