episode,total_demand,served,charged,rejection,total_rewards,total_profits,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_envy,mean_envy,std_envy,max_subsidy,mean_subsidy,std_subsidy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,avg_cls_subsidy,std_cls_subsidy,avg_centre_envy,std_centre_envy,avg_centre_subsidy,std_centre_subsidy,avg_suburb_envy,std_suburb_envy,avg_suburb_subsidy,std_suburb_subsidy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
10,1859,1773,1490,0.046261431,49396.31967,106159.0294,106159.0294,0,4705.082955,15,5.042672072,2.131921393,4.999942633,1.213812435,1.587519031,36.6,2.530975231,6.110075986,0,0,0,10,4.859375,1.675813119,46.65789474,20.67069667,39.21052632,20.13789031,1.848331681,2.152191384,0,0,2.13142667,4.197336196,0,0,3.183495756,8.297266072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84305114,3166.355492
11,1849,1745,1503,0.05624662,47787.45948,102408.5044,102408.5044,0,4513.408374,15,4.965817144,2.070780105,4.995685923,1.288998759,1.602650436,36.6,2.440999661,6.020401353,0,0,0,10,5.010416667,1.791151816,45.92105263,21.15529246,39.55263158,21.43251019,1.742757513,1.878537569,0,0,2.134502428,4.065745243,0,0,2.90136763,8.093493138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786394522,2881.341974
12,1815,1709,1476,0.058402204,46354.7362,99193.8825,99193.8825,0,4779.621604,15,4.9628103,2.08254064,4.998402609,1.278422682,1.613163945,36.6,2.633400333,6.407234039,0,0,0,9,4.979166667,1.695454503,44.97368421,20.5227561,38.84210526,21.20393002,2.025276472,2.715882219,0,0,2.376336466,4.750869132,0,0,3.042866348,8.379662166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948316948,2795.855255
13,1798,1724,1466,0.041156841,47046.62634,101940.1688,101940.1688,0,3694.905231,14.96674447,5.00545868,2.134296082,4.999752391,1.250075163,1.600695976,36.6,2.055008471,5.254436561,0,0,0,10,4.885416667,1.583573173,45.36842105,22.43050209,38.57894737,21.40908757,1.244356958,1.486122835,0,0,1.899881875,3.861533542,0,0,2.330975569,7.076653302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65765686,2762.715984
14,1796,1719,1458,0.042873051,47194.06835,102626.3344,102626.3344,0,4238.517572,14.96981782,4.950256306,2.011271894,4.999282888,1.238734551,1.601863614,36.6,2.359976376,5.859186627,0,0,0,10,4.963541667,1.730162552,45.23684211,20.26720739,38.36842105,20.67724538,1.687665839,2.027681896,0,0,2.069146353,4.257470138,0,0,2.860556539,7.862852686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.367760385,2756.177411
15,1788,1707,1446,0.045302013,46952.07585,101179.3931,101179.3931,0,4163.772868,14.94140292,4.977192177,2.036115928,4.997958899,1.253208019,1.591670518,36.6,2.328732029,5.76734142,0,0,0,10,4.979166667,1.61683311,44.92105263,21.33860053,38.05263158,21.01621851,1.594864353,1.72523106,0,0,2.028299318,3.889529518,0,0,2.848411817,8.012698061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.507283388,2718.865903
16,1868,1775,1510,0.049785867,49210.74148,105216.0394,105216.0394,0,4550.799452,15,5.070555245,2.208130262,4.986872147,1.367449493,1.654217358,36.6,2.436188144,6.01032278,0,0,0,10,5.260416667,1.542757216,46.71052632,22.49082608,39.73684211,22.4917344,1.681782012,2.164845571,0,0,2.196950983,4.494259505,0,0,2.809135936,7.792443005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.813986803,2707.671916
17,1845,1764,1495,0.043902439,47620.10072,105063.0431,105063.0431,0,4768.811827,15,4.842382588,1.832353962,4.997281866,1.328075703,1.652171448,36.6,2.584721857,6.037855906,0,0,0,9,4.973958333,1.515320703,46.42105263,20.81577284,39.34210526,20.46598759,1.950745588,2.031648632,0,0,2.35012953,4.312987797,0,0,2.996133775,8.215885177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.482962495,2750.194436
18,1878,1789,1504,0.047390841,49611.77462,107192.6494,107192.6494,0,4319.841985,14.66265403,5.044056737,2.101454799,4.994089879,1.278035082,1.601767721,36.6,2.300235349,5.582518725,0,0,0,9,5.083333333,1.582236462,47.07894737,20.03074161,39.57894737,19.7665741,1.536706097,1.810334705,0,0,2.174883605,4.111292259,0,0,2.516058352,7.45962238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.389987317,2711.304129
19,1890,1798,1530,0.048677249,48963.41764,106281.8438,106281.8438,0,4772.179277,15,4.969639615,2.04223172,4.984281046,1.302944701,1.618281917,36.6,2.52496258,6.141389822,0,0,0,8,5.026041667,1.415814312,47.31578947,21.00514381,40.26315789,20.69284673,1.693662849,2.833502709,0,0,2.229079981,4.421470595,0,0,3.021173626,8.233535539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.041428253,2688.819754
