episode,total_demand,served,charged,rejection,total_rewards,total_profits,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_envy,mean_envy,std_envy,max_subsidy,mean_subsidy,std_subsidy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,avg_cls_subsidy,std_cls_subsidy,avg_centre_envy,std_centre_envy,avg_centre_subsidy,std_centre_subsidy,avg_suburb_envy,std_suburb_envy,avg_suburb_subsidy,std_suburb_subsidy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
10,1859,1763,1484,0.051640667,39810.4475,105426.5925,105426.5925,0,5009.4636,14.8905757,4.992198469,1.992128929,4.999942633,1.287964265,1.629286127,36.6,2.694708768,6.342538979,0,0,0,10,5,1.642533612,46.39473684,19.70912088,39.05263158,19.13930561,1.927345626,2.127706168,0,0,2.275482099,4.114727236,0,0,3.379366486,8.804492682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.360023823,2652.967042
11,1849,1748,1494,0.054624121,38611.41871,103688.7394,103688.7394,0,4713.38388,15,4.886846092,1.937276815,4.995685923,1.255691048,1.61320428,36.6,2.549152991,6.316038114,0,0,0,10,4.994791667,1.739544348,46,20.0486251,39.31578947,20.44260935,1.950840888,2.308882762,0,0,2.152893775,4.206705791,0,0,3.144346129,8.522982477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669343338,2521.960325
12,1815,1707,1464,0.059504132,37259.25156,99667.19438,99667.19438,0,4859.456493,15,5.065409971,2.244230873,4.998402609,1.285614185,1.62324821,36.6,2.677386497,6.323847443,0,0,0,9,4.947916667,1.644877096,44.92105263,21.24962115,38.52631579,21.50855013,1.990151627,2.417487116,0,0,2.409468642,4.442661341,0,0,3.104141366,8.48268897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69845949,2474.253379
13,1798,1723,1459,0.041713014,39372.64815,102533.6963,102533.6963,0,4285.698399,14.96732405,4.967752764,2.067717588,4.996548003,1.260332205,1.611171938,36.6,2.383591991,5.826242351,0,0,0,10,4.833333333,1.662494779,45.34210526,21.59346431,38.39473684,20.72189215,1.351160295,1.807896462,0,0,2.311484613,4.590940244,0,0,2.511869567,7.537371057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724147472,2409.327782
14,1796,1724,1444,0.040089087,39134.62774,104128.5319,104128.5319,0,4389.961606,15,4.882064866,1.910531245,4.998711012,1.293436765,1.623233105,36.6,2.444299335,5.989326895,0,0,0,10,4.9375,1.589762168,45.36842105,19.39129085,38,19.37985932,1.81468592,1.899952589,0,0,2.128648001,4.298566739,0,0,2.987602238,8.083609882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626262918,2363.99824
15,1788,1697,1436,0.050894855,38383.24254,100614.4519,100614.4519,0,4532.377049,14.92594082,4.981428793,2.030979755,4.997958899,1.300014784,1.611587123,36.6,2.534886493,6.102524532,0,0,0,8,4.796875,1.536158163,44.65789474,21.38528308,37.78947368,20.85559106,1.900085219,2.218144525,0,0,2.178010401,3.963061758,0,0,3.152200403,8.595926452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626865883,2355.133916
16,1868,1772,1511,0.051391863,40578.60056,105041.7131,105041.7131,0,4500.121321,15,4.990778658,2.069384478,4.986859668,1.339132757,1.634312425,36.6,2.409058523,5.832269714,0,0,0,9,5.088541667,1.586884381,46.63157895,21.65205843,39.76315789,21.44446219,1.668841701,2.011607426,0,0,2.144997595,4.053746038,0,0,2.82070419,7.819633636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70702277,2364.567421
17,1845,1759,1486,0.046612466,39120.57234,105171.9938,105171.9938,0,4797.398176,15,4.900972918,1.951086509,4.995685923,1.341904676,1.651450064,36.6,2.600215814,6.195095113,0,0,0,9,4.885416667,1.570362164,46.28947368,20.98107906,39.10526316,20.94201201,2.083351493,2.56637539,0,0,2.321600701,4.393698429,0,0,3.088831868,8.453169624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647134323,2402.719814
18,1878,1785,1496,0.049520767,41175.64658,107634.7594,107634.7594,0,4481.466987,14.69843523,4.905955238,1.923712993,4.995685923,1.300065415,1.601578363,36.6,2.38629765,5.850554317,0,0,0,10,5,1.834280059,46.97368421,21.22372908,39.36842105,20.90885113,1.573910026,1.77695744,0,0,2.198959142,4.24069852,0,0,2.70884569,7.876228179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610356883,2245.482046
19,1890,1791,1519,0.052380952,38867.87819,105573.3,105573.3,0,4874.557474,14.97491162,4.954965304,2.021133266,4.996028284,1.237875523,1.588223653,36.6,2.579130938,6.388888668,0,0,0,8,4.921875,1.395357117,47.13157895,20.33039085,39.97368421,20.33209395,1.896746765,2.769062165,0,0,2.21325561,4.350826767,0,0,3.192723558,8.770667123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87203827,2218.678497
